program,rewrite_id,dataset,variant,run,relation,rule_kind,rule,rule_runtime_ms,rule_num_tuples,rule_source
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1555.33,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",295.073,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",414.324,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.643,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1548.181,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",287.236,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",416.952,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.287,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1573.364,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",315.476,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
