program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,3,21988.832,21.988832,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,30,22065.597,22.065597,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,4,21900.135,21.900135,875392
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,5,21734.405,21.734405,875264
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,6,21838.712,21.838712,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,7,21667.496,21.667496,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,8,21864.32,21.86432,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,9,21287.996,21.287996,875392
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,1,0.628,0.000628,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,10,0.853,0.000853,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,11,0.601,0.000601,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,12,0.397,0.000397,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,13,0.382,0.000382,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,14,0.379,0.000379,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,15,0.585,0.000585,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,16,0.894,0.000894,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,17,0.859,0.000859,4736
