rewrite_id,rewrite_label,dataset,variant,run,source_file,relation,rule_src,rule_runtime_us,rule_num_tuples,rule_maxRSS_post,rule_runtime_ms
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,22,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run22.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1523523,432038,83328,1523.523
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,23,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run23.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",323610,499537,60032,323.61
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,23,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run23.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",431588,499537,72192,431.588
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,23,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run23.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57135,67499,85888,57.135
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,23,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run23.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1570357,432038,83200,1570.357
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,24,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run24.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",293799,499537,60032,293.799
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,24,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run24.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",418919,499537,72192,418.919
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,24,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run24.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57048,67499,86016,57.048
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,24,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run24.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1555330,432038,83328,1555.33
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,25,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run25.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",295073,499537,60160,295.073
