rewrite_id,rewrite_label,dataset,variant,run,source_file,program_runtime_us,program_runtime_ms,program_maxRSS_MB
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,16,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run16.json,7111353,7111.353,60.75
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,17,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run17.json,7431530,7431.53,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,18,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run18.json,7109749,7109.749,60.75
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,19,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run19.json,7340265,7340.265,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,20,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run20.json,7215459,7215.459,60.625
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,21,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run21.json,7249389,7249.389,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,22,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run22.json,7096922,7096.922,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,23,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run23.json,7288556,7288.556,60.375
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,24,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run24.json,7066275,7066.275,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,25,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run25.json,7235722,7235.722,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,26,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run26.json,7286156,7286.156,60.75
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,27,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run27.json,7448584,7448.584,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,28,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run28.json,7401470,7401.47,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,29,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run29.json,7485250,7485.25,60.5
6,6_laatste_optimalisaties,data_5000nodes_0p02density,noopt,30,6_laatste_optimalisaties__data_5000nodes_0p02density__noopt__run30.json,7475195,7475.195,60.625
7,7_original_unfolded,data_5000nodes_0p02density,noopt,1,7_original_unfolded__data_5000nodes_0p02density__noopt__run1.json,2546092,2546.092,60.5
7,7_original_unfolded,data_5000nodes_0p02density,noopt,2,7_original_unfolded__data_5000nodes_0p02density__noopt__run2.json,2555865,2555.865,60.5
